characterName,role,nationality,build,causeOfDeath,responsibleParty,deathSceneNumber
Alice Wilson,Station Manager,Japanese,Slim,Fall from height,Sophie Khan,47
Amara Rodriguez,Electrician,Italian,Heavyset,Hanging,Accident,7
Carlos Pavlov,Medical Officer,Australian,Tall,Stabbed,Dr. Amara Pavlov,28
Carlos Tanaka,Maintenance Technician,Russian,Tall,Suffocated,Erik Khan,28
David Sokolov,Engineer,Japanese,Stocky,Electrocuted,Hana Thomas,42
Diego Ito,Climatologist,Swedish,Stocky,Stabbed,Sophie Lee,20
Dr. Amara Pavlov,Chemist,French,Athletic,Burned,Sophie Lee,18
Dr. Chen Smith,IT Specialist,German,Stocky,Suffocated,Svetlana Sato,25
Dr. Elena Novak,Systems Analyst,Polish,Short,Electrocuted,Prof. Yuki Suzuki,14
Dr. Lucia Petrov,IT Specialist,German,Tall,Suffocated,Self-inflicted,32
Dr. Marcus Tanaka,Medical Officer,Danish,Athletic,Blunt trauma,Felipe Suzuki,15
Dr. Zoe Ivanov,IT Specialist,Japanese,Lanky,Explosion,Kira Ahmed,16
Elena Kim,Maintenance Technician,Russian,Heavyset,Shot,Erik Jensen,48
Emma Garcia,Maintenance Technician,Japanese,Heavyset,Explosion,Nikolai Kozlov,26
Emma Nakamura,Radio Operator,Canadian,Short,Stabbed,Self-inflicted,9
Erik Jensen,Meteorologist,Japanese,Tall,Explosion,Prof. Yuki Suzuki,45
Erik Khan,Biologist,Italian,Short,Suffocated,Hana Thomas,34
Erik Kim,Field Researcher,Japanese,Lanky,Burned,Nikolai Kozlov,29
Felipe Suzuki,Cook,Norwegian,Lanky,Poisoned,Prof. Magnus Wilson,24
Felipe Volkov,Field Researcher,Russian,Heavyset,Frozen,John Harris,32
Grace Kobayashi,Pilot,Indian,Slim,Electrocuted,Prof. Aisha Tanaka,2
Hana Thomas,Scientist,Italian,Tall,Hanging,Self-inflicted,43
Henrik Khan,Medical Officer,Danish,Athletic,Electrocuted,Accident,37
Henrik Singh,IT Specialist,Danish,Lanky,Frozen,Self-inflicted,49
Henrik Taylor,Communications Officer,Japanese,Tall,Strangled,Diego Ito,23
Ingrid Murphy,Biologist,German,Average,Burned,Dr. Chen Smith,4
Ingrid Novak,Biologist,British,Athletic,Fall from height,Accident,26
Ingrid Sato,Station Manager,Dutch,Tall,Suffocated,Grace Kobayashi,39
Ivan Novak,IT Specialist,Finnish,Lanky,Blunt trauma,Leila Larsen,5
Ivan Sato,Pilot,Spanish,Average,Burned,Dr. Lucia Petrov,30
John Harris,Biologist,Australian,Athletic,Explosion,Erik Khan,44
John Jackson,Station Manager,Indian,Average,Stabbed,Self-inflicted,17
Kira Ahmed,Station Manager,American,Tall,Stabbed,Emma Garcia,10
Leila Larsen,Pilot,Swedish,Stocky,Poisoned,Carlos Tanaka,16
Lucia Harris,Communications Officer,Finnish,Athletic,Blunt trauma,Henrik Khan,35
Magnus Davis,Geologist,Polish,Slim,Poisoned,Ivan Novak,33
Maria Ahmed,Mechanic,Italian,Lanky,Hanging,Carlos Tanaka,42
Natasha Miller,Engineer,Canadian,Short,Burned,Erik Khan,3
Nikolai Kozlov,Biologist,Danish,Slim,Blunt trauma,Unknown,27
Nora Ali,Station Manager,Australian,Average,Fall from height,Dr. Marcus Tanaka,17
Nora Patel,Scientist,Polish,Short,Stabbed,Accident,31
Oliver Murphy,IT Specialist,Italian,Heavyset,Burned,Dr. Elena Novak,1
Oliver Nielsen,Electrician,Polish,Average,Suffocated,Nikolai Kozlov,41
Prof. Aisha Tanaka,Medical Officer,Chinese,Slim,Strangled,Svetlana Sato,32
Prof. Alice Berg,Cook,Japanese,Tall,Fall from height,Self-inflicted,36
Prof. Amara Wilson,Biologist,Danish,Average,Stabbed,Dr. Zoe Ivanov,50
Prof. Andre Lopez,Engineer,Swedish,Short,Blunt trauma,Diego Ito,13
Prof. Anton Garcia,Security Officer,Brazilian,Heavyset,Hanging,Maria Ahmed,19
Prof. Diego Wilson,Mechanic,Polish,Slim,Frozen,Ivan Novak,2
Prof. Diego Yamamoto,Station Manager,Norwegian,Athletic,Stabbed,Henrik Singh,46
Prof. Emma Davis,Radio Operator,Finnish,Stocky,Frozen,Prof. Andre Lopez,4
Prof. Ivan Popov,Mechanic,Canadian,Stocky,Shot,Dr. Lucia Petrov,12
Prof. Magnus Wilson,Systems Analyst,Russian,Slim,Suffocated,Nikolai Kozlov,22
Prof. Yuki Suzuki,Radio Operator,Finnish,Stocky,Strangled,Svetlana Sato,18
Rebecca Rodriguez,Medical Officer,Swedish,Average,Stabbed,Dr. Elena Novak,21
Sakura Tanaka,Engineer,British,Stocky,Strangled,Accident,8
Sophie Khan,Climatologist,Russian,Slim,Hanging,Felipe Suzuki,11
Sophie Lee,Electrician,Indian,Heavyset,Hanging,Nikolai Kozlov,38
Svetlana Sato,Communications Officer,Brazilian,Short,Blunt trauma,Self-inflicted,40
Thomas Wilson,Meteorologist,American,Heavyset,Stabbed,Self-inflicted,6
